time;V(/BIT_0);V(/BIT_1);V(/BIT_2);V(/Shaped_Out);
0;0;0;0;0;
1e-10;0;0;0;0;
2e-10;0;0;0;0;
4e-10;0;0;0;0;
8e-10;0;0;0;0;
1.6e-09;0;0;0;0;
3.2e-09;0;0;0;0;
6.4e-09;0;0;0;0;
8.00639e-09;0;0;0;0;
8.96945e-09;0;0;0;0;
9.52778e-09;0;0;0;0;
9.85343e-09;0;0;0;0;
1.00432e-08;0;0;0;6.76656e-07;
1.01527e-08;0;0;0;2.23435e-06;
1.02203e-08;0;0;0;2.96838e-06;
1.02896e-08;0;0;0;2.62849e-06;
1.0379e-08;0;0;0;7.76301e-07;
1.04788e-08;0;0;0;-3.60166e-06;
1.06166e-08;0;0;0;-1.41215e-05;
1.07521e-08;0;0;0;-2.99234e-05;
1.08877e-08;0;0;0;-5.14162e-05;
1.10139e-08;0;0;0;-7.65829e-05;
1.11842e-08;0;0;0;-0.000118371;
1.13787e-08;0;0;0;-0.000175667;
1.16395e-08;0;0;0;-0.000265001;
1.19575e-08;0;0;0;-0.000386739;
1.23362e-08;0;0;0;-0.000536902;
1.275e-08;0;0;0;-0.000688295;
1.32881e-08;0;0;0;-0.000829385;
1.39352e-08;0;0;0;-0.000859597;
1.47921e-08;0;0;0;-0.000563974;
1.58966e-08;0;0;0;0.000533814;
1.74688e-08;0;0;0;0.00371411;
1.98928e-08;0;0;0;0.0124834;
2.29232e-08;0;0;0;0.0294558;
2.67465e-08;0;0;0;0.0582292;
3.16975e-08;0;0;0;0.103144;
3.56975e-08;0;0;0;0.142804;
3.62747e-08;2.88628;0;0;0.148656;
3.74292e-08;5;0;0;0.160379;
3.97383e-08;5;0;0;0.183852;
4.43563e-08;5;0;0;0.230303;
4.73563e-08;5;0;0;0.259813;
4.82799e-08;5;4.61805;0;0.26871;
4.93563e-08;5;5;0;0.279023;
4.9541e-08;4.07639;5;0;0.280781;
4.99105e-08;2.22917;5;0;0.284288;
5.06494e-08;0;5;0;0.291263;
5.21271e-08;0;5;0;0.305044;
5.50827e-08;0;5;0;0.331904;
5.61271e-08;0;5;0;0.341167;
5.67182e-08;2.95555;5;0;0.346335;
5.79005e-08;5;5;0;0.356592;
6.02649e-08;5;5;0;0.376625;
6.49938e-08;5;5;0;0.414767;
6.59938e-08;5;5;0;0.422505;
6.69396e-08;5;5;4.72888;0.429668;
6.88311e-08;5;5;5;0.443793;
6.89938e-08;5;5;5;0.444989;
6.93191e-08;5;3.37329;5;0.447367;
6.99698e-08;5;0.119883;5;0.452098;
6.99938e-08;5;2.13163e-14;5;0.452272;
7.00417e-08;4.76023;0;5;0.452618;
7.01377e-08;4.2807;0;5;0.453311;
7.03295e-08;3.32163;0;5;0.454693;
7.07131e-08;1.4035;0;5;0.457445;
7.14803e-08;0;0;5;0.462902;
7.30149e-08;0;0;5;0.473623;
7.60839e-08;0;0;5;0.494311;
8.22219e-08;0;0;5;0.5328;
8.62219e-08;0;0;5;0.555892;
8.72219e-08;5;0;5;0.561385;
8.92219e-08;5;0;5;0.572193;
9.32219e-08;5;0;5;0.592759;
1.01222e-07;5;0;5;0.62997;
1.03222e-07;5;0;5;0.63849;
1.04222e-07;5;5;5;0.642604;
1.06222e-07;5;5;5;0.650689;
1.06422e-07;4;5;5;0.651481;
1.06822e-07;2;5;5;0.653059;
1.07622e-07;0;5;5;0.656181;
1.09222e-07;0;5;5;0.662294;
1.12422e-07;0;5;5;0.674013;
1.18822e-07;0;5;5;0.695527;
1.28822e-07;0;5;5;0.724467;
1.31822e-07;0;5;5;0.73211;
1.32822e-07;5;5;5;0.734536;
1.34822e-07;5;5;5;0.739295;
1.38822e-07;5;5;5;0.748265;
1.46822e-07;5;5;5;0.764166;
1.56822e-07;5;5;5;0.780586;
1.66822e-07;5;5;5;0.793636;
1.76822e-07;5;5;5;0.803778;
1.86822e-07;5;5;5;0.811411;
1.96822e-07;5;5;5;0.816882;
2.06822e-07;5;5;5;0.82049;
2.16822e-07;5;5;5;0.822495;
2.26822e-07;5;5;5;0.823123;
2.36822e-07;5;5;5;0.822568;
2.46822e-07;5;5;5;0.820999;
2.56822e-07;5;5;5;0.818562;
2.66822e-07;5;5;5;0.815384;
2.76822e-07;5;5;5;0.811574;
2.86822e-07;5;5;5;0.807227;
2.96822e-07;5;5;5;0.802425;
3.06822e-07;5;5;5;0.797239;
3.16822e-07;5;5;5;0.791731;
3.26822e-07;5;5;5;0.785953;
